 Morbidade Hospitalar do SUS - por local de residência - Rio Grande do Sul
Internações por Município e Macrorregião de Saúde
Período:2008-2025
"Município";"4308 VALES";"4309 SUL";"4310 SERRA";"4311 NORTE";"4312 MISSIONEIRA";"4313 METROPOLITANA";"4314 CENTRO-OESTE";"Total"
"431915 SAO MIGUEL DAS MISSOES";-;-;-;-;11055;-;-;11055
"431920 SAO NICOLAU";-;-;-;-;6407;-;-;6407
"431930 SAO PAULO DAS MISSOES";-;-;-;-;10637;-;-;10637
"431935 SAO PEDRO DA SERRA";-;-;-;-;-;3669;-;3669
"431936 SAO PEDRO DAS MISSOES";-;-;-;2467;-;-;-;2467
"431937 SAO PEDRO DO BUTIA";-;-;-;-;4093;-;-;4093
"431940 SAO PEDRO DO SUL";-;-;-;-;-;-;19370;19370
"431950 SAO SEBASTIAO DO CAI";-;-;-;-;-;28058;-;28058
"431960 SAO SEPE";-;-;-;-;-;-;33953;33953
"431970 SAO VALENTIM";-;-;-;4761;-;-;-;4761
"431971 SAO VALENTIM DO SUL";4488;-;-;-;-;-;-;4488
"431973 SAO VALERIO DO SUL";-;-;-;-;4655;-;-;4655
"431975 SAO VENDELINO";-;-;2529;-;-;-;-;2529
"431980 SAO VICENTE DO SUL";-;-;-;-;-;-;10451;10451
"431990 SAPIRANGA";-;-;-;-;-;98899;-;98899
"432000 SAPUCAIA DO SUL";-;-;-;-;-;173913;-;173913
"432010 SARANDI";-;-;-;26984;-;-;-;26984
"432020 SEBERI";-;-;-;21819;-;-;-;21819
"432023 SEDE NOVA";-;-;-;-;4123;-;-;4123
"432026 SEGREDO";11949;-;-;-;-;-;-;11949
"432030 SELBACH";-;-;-;-;6107;-;-;6107
"432032 SENADOR SALGADO FILHO";-;-;-;-;4203;-;-;4203
"432035 SENTINELA DO SUL";-;-;-;-;-;6583;-;6583
"432040 SERAFINA CORREA";-;-;-;19465;-;-;-;19465
"432045 SERIO";2590;-;-;-;-;-;-;2590
"432050 SERTAO";-;-;-;9661;-;-;-;9661
"432055 SERTAO SANTANA";-;-;-;-;-;6581;-;6581
"432057 SETE DE SETEMBRO";-;-;-;-;3101;-;-;3101
"432060 SEVERIANO DE ALMEIDA";-;-;-;7409;-;-;-;7409
"432065 SILVEIRA MARTINS";-;-;-;-;-;-;2560;2560
"432067 SINIMBU";15061;-;-;-;-;-;-;15061
"432070 SOBRADINHO";24862;-;-;-;-;-;-;24862
"432080 SOLEDADE";-;-;-;42755;-;-;-;42755
"432085 TABAI";-;-;-;-;-;5002;-;5002
"432090 TAPEJARA";-;-;-;30521;-;-;-;30521
"432100 TAPERA";-;-;-;16710;-;-;-;16710
"432110 TAPES";-;-;-;-;-;20141;-;20141
"432120 TAQUARA";-;-;-;-;-;64360;-;64360
"432130 TAQUARI";32651;-;-;-;-;-;-;32651
"432132 TAQUARUCU DO SUL";-;-;-;4271;-;-;-;4271
"432135 TAVARES";-;-;-;-;-;4702;-;4702
"432140 TENENTE PORTELA";-;-;-;23593;-;-;-;23593
"432143 TERRA DE AREIA";-;-;-;-;-;10550;-;10550
"432145 TEUTONIA";38559;-;-;-;-;-;-;38559
"432146 TIO HUGO";-;-;-;4204;-;-;-;4204
"432147 TIRADENTES DO SUL";-;-;-;9143;-;-;-;9143
"432149 TOROPI";-;-;-;-;-;-;3762;3762
"432150 TORRES";-;-;-;-;-;50183;-;50183
"432160 TRAMANDAI";-;-;-;-;-;60534;-;60534
"432162 TRAVESSEIRO";4605;-;-;-;-;-;-;4605
"432163 TRES ARROIOS";-;-;-;3434;-;-;-;3434
"432166 TRES CACHOEIRAS";-;-;-;-;-;12098;-;12098
"432170 TRES COROAS";-;-;-;-;-;37572;-;37572
"432180 TRES DE MAIO";-;-;-;-;27397;-;-;27397
"432183 TRES FORQUILHAS";-;-;-;-;-;3543;-;3543
"432185 TRES PALMEIRAS";-;-;-;7992;-;-;-;7992
"432190 TRES PASSOS";-;-;-;38856;-;-;-;38856
"432195 TRINDADE DO SUL";-;-;-;11585;-;-;-;11585
"432200 TRIUNFO";-;-;-;-;-;33448;-;33448
"432210 TUCUNDUVA";-;-;-;-;10147;-;-;10147
"432215 TUNAS";-;-;-;5219;-;-;-;5219
"432218 TUPANCI DO SUL";-;-;-;2759;-;-;-;2759
"432220 TUPANCIRETA";-;-;-;-;-;-;29094;29094
"432225 TUPANDI";-;-;-;-;-;4905;-;4905
"432230 TUPARENDI";-;-;-;-;11551;-;-;11551
"432232 TURUCU";-;4218;-;-;-;-;-;4218
"432234 UBIRETAMA";-;-;-;-;3262;-;-;3262
"432235 UNIAO DA SERRA";-;-;2053;-;-;-;-;2053
"432237 UNISTALDA";-;-;-;-;-;-;3309;3309
"432240 URUGUAIANA";-;-;-;-;-;-;119054;119054
"432250 VACARIA";-;-;87287;-;-;-;-;87287
"432252 VALE VERDE";4148;-;-;-;-;-;-;4148
"432253 VALE DO SOL";15133;-;-;-;-;-;-;15133
"432254 VALE REAL";-;-;4856;-;-;-;-;4856
"432255 VANINI";-;-;-;2678;-;-;-;2678
"432260 VENANCIO AIRES";83374;-;-;-;-;-;-;83374
"432270 VERA CRUZ";32655;-;-;-;-;-;-;32655
"432280 VERANOPOLIS";-;-;26432;-;-;-;-;26432
"432285 VESPASIANO CORREA";3384;-;-;-;-;-;-;3384
"432290 VIADUTOS";-;-;-;8565;-;-;-;8565
"432300 VIAMAO";-;-;-;-;-;271878;-;271878
"432310 VICENTE DUTRA";-;-;-;6988;-;-;-;6988
"432320 VICTOR GRAEFF";-;-;-;3678;-;-;-;3678
"432330 VILA FLORES";-;-;3948;-;-;-;-;3948
"432335 VILA LANGARO";-;-;-;3553;-;-;-;3553
"432340 VILA MARIA";-;-;-;4137;-;-;-;4137
"432345 VILA NOVA DO SUL";-;-;-;-;-;-;4472;4472
"432350 VISTA ALEGRE";-;-;-;4900;-;-;-;4900
"432360 VISTA ALEGRE DO PRATA";-;-;2094;-;-;-;-;2094
"432370 VISTA GAUCHA";-;-;-;3625;-;-;-;3625
"432375 VITORIA DAS MISSOES";-;-;-;-;5210;-;-;5210
"432377 WESTFALIA";4853;-;-;-;-;-;-;4853
"432380 XANGRI-LA";-;-;-;-;-;18374;-;18374
"Total";1192247;1155841;1170711;1836317;1161665;5824942;1179908;13521631
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
